Name account,Sentiment,Vader,Textblob,Retweet
POTUS,0,0.99,0.1449,3745
POTUS,0,0.5984,0.45,1951
POTUS,-1,0,0,4018
POTUS,1,0.9607,0.5139,5970
POTUS,0,0.5106,0.1,2685
POTUS,0,0.128,0.1,3704
POTUS,0,-0.7845,0,10088
POTUS,0,0,0,642
POTUS,0,0.5994,0.1,7302
POTUS,0,0.6249,-0.3,3425
TonyFratto,-1,-0.3274,0,1
TonyFratto,-1,-0.8074,-0.1879,69
TonyFratto,-1,0.4391,0.105,1
TonyFratto,0,0.3182,-0.125,1
TonyFratto,0,-0.1779,-0.2857,1
TonyFratto,0,0.6988,1,0
TonyFratto,0,0,0,1
TonyFratto,0,0,0.0056,2
TonyFratto,0,0,0,31
TonyFratto,0,0.3412,0,0
TonyFratto,0,0.128,-0.5,0
TonyFratto,1,0.3612,0.05,6
TonyFratto,-1,0.3919,-0.15,1
TonyFratto,0,0,0.25,21
TonyFratto,0,0,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0.5983,0.3681,0
TonyFratto,0,0.5797,0.625,0
TonyFratto,1,0.8439,0.5333,0
TonyFratto,0,0,0,0
TonyFratto,0,-0.8172,0,20
TonyFratto,-2,0.755,0.1786,1
TonyFratto,-1,0.64,0,5
TonyFratto,0,0.2732,0,977
TonyFratto,-1,0,0,54
TonyFratto,0,0,0.1,0
TonyFratto,0,0.3182,0.35,0
TonyFratto,0,0,0.05,0
TonyFratto,0,-0.34,0,14
TonyFratto,-1,-0.296,0,0
TonyFratto,0,-0.1531,0,0
TonyFratto,0,-0.1477,-0.15,0
TonyFratto,1,0.9286,0.7,2
TonyFratto,0,0,0,25
TonyFratto,0,0.3818,0.1,90
TonyFratto,1,0.2846,0.2375,13
TonyFratto,0,0.7096,0.3,10
TonyFratto,0,0,0.5,0
TonyFratto,0,0.1027,0,4
TonyFratto,-1,-0.7003,0,46
TonyFratto,0,0.0258,0.25,19
TonyFratto,0,0.7783,1,0
TonyFratto,0,-0.2732,-0.75,27
TonyFratto,0,0.4767,0.25,7
TonyFratto,0,0.6072,0.4,5
TonyFratto,-1,0.4404,0.0682,3
TonyFratto,0,-0.2732,0,13
TonyFratto,0,0.7964,0.3917,12
TonyFratto,0,0.5707,0,0
TonyFratto,0,0.7463,0.6,0
TonyFratto,-1,-0.0387,0.2667,0
TonyFratto,0,0.6124,0.475,0
TonyFratto,0,0,0,0
TonyFratto,1,0.7935,0.2333,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0.2235,0.125,0
TonyFratto,0,-0.6087,-0.0417,0
TonyFratto,0,0,0.5,0
TonyFratto,0,0.4588,0.1,197
TonyFratto,0,0.4404,0.2778,0
TonyFratto,0,0,0,0
TonyFratto,0,0.9118,0.2806,0
TonyFratto,0,0,0,0
TonyFratto,-1,-0.1965,0.0125,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0.4753,0.4375,0
TonyFratto,1,0.3612,0,0
TonyFratto,1,0.8405,0.306,0
TonyFratto,0,0.1796,0.0667,1
TonyFratto,1,-0.0772,-0.05,0
TonyFratto,-1,0,-0.65,0
TonyFratto,0,0,0,0
TonyFratto,0,0.5106,0.2833,0
TonyFratto,0,0.6114,1,0
TonyFratto,0,0.4215,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0.3,2
TonyFratto,0,0.2836,0.5,8
TonyFratto,0,-0.4215,-0.0333,1
TonyFratto,0,0,0.0312,2
TonyFratto,0,0.8801,0.29,0
TonyFratto,0,0.4019,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0.3804,0.455,0
TonyFratto,0,0.0772,-0.4,0
TonyFratto,0,0.4754,0.78,0
TonyFratto,0,0,0,0
TonyFratto,0,0.4767,0,0
TonyFratto,0,0.1779,0,185
TonyFratto,0,0.5244,0.3,0
TonyFratto,1,0.916,0.4344,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0.25,0
TonyFratto,0,-0.3875,0,0
TonyFratto,0,0,0,0
TonyFratto,-1,0.7351,0.0375,4381
TonyFratto,0,0,0.0764,573
TonyFratto,0,0.4404,0,58
